Name,Description,Size,Host Key
WSS104 (Esorfranki Room),Wits Science Stadium,40,5098-10
WSS101 (Bateman Room),Wits Science Stadium,40,5098-9
WSS105,Wits Science Stadium,40,5098-8
WSS103,Wits Science Stadium,40,5098-7
WSS3,Wits Science Stadium,220,9105-1
WSS105,Wits Science Stadium,40,7712-6
WSS106,Wits Science Stadium,40,7712-5
WSS107,Wits Science Stadium,40,7712-4
WSS101 (Bateman Room),Wits Science Stadium,40,7712-3
WSS104 (Esorfranki Room),Wits Science Stadium,40,7712-2
WSS103,Wits Science Stadium,40,7712-1
U1,Umthombo Building,250,9153-1
OLS2,Oppenheimer Life Sciences,200,5101-1
OLS2,Oppenheimer Life Sciences,200,#SPLUS2B772E
OLS1,Oppenheimer Life Sciences,250,10708-2
OLS1,Oppenheimer Life Sciences,250,10708-1
OLS4,Oppenheimer Life Sciences,250,#SPLUS6C292D
OLS1,Oppenheimer Life Sciences,250,#SPLUS6C292F
OGS1,Old Grand Stand Building,120,5103-1
OGS1,Old Grand Stand Building,120,5104-1
OGS1,Old Grand Stand Building,120,5104-3
OGS1,Old Grand Stand Building,120,5105-2
OGS1,Old Grand Stand Building,120,5105-1
OGS1,Old Grand Stand Building,120,5106-1
OGS1,Old Grand Stand Building,120,5106-2
FNBBA,First National Bank Building,100,#SPLUSEFB6F6
OGS1,Old Grand Stand Building,100,5111-2
OGS1,Old Grand Stand Building,100,5111-1
WSS1,Wits Science Stadium,250,5112-2
WSS1,Wits Science Stadium,250,5112-1
CBEH,Robert Sobukwe Building 2nd floor,250,7916-1
OGS1,Old Grand Stand Building,120,5114-2
OGS1,Old Grand Stand Building,120,5114-3
A2,John Moffat Building,60,10098-1
A2,John Moffat Building,60,10711-1
A2,John Moffat Building,60,10099-1
OGS1,Old Grand Stand Building,120,9152-1
OGS1,Old Grand Stand Building,120,9152-2
OLS4,Oppenheimer Life Sciences,250,5139-3
OLS4,Oppenheimer Life Sciences,250,5139-4
OLS4,Oppenheimer Life Sciences,250,5139-2
OLS4,Oppenheimer Life Sciences,250,5139-1
U10,Umthombo Building,250,5141-4
U10,Umthombo Building,250,5141-3
U1,Umthombo Building,250,5141-2
U11,Umthombo Building,170,5143-1
U11,Umthombo Building,170,5143-4
OLS4,Oppenheimer Life Sciences,170,5143-2
U11,Umthombo Building,170,5143-3
